username,mal_id,score
189845783458,379,7
189845783458,431,5
189845783458,249,7
189845783458,452,8
189845783458,450,7
189845783458,451,7
189845783458,449,7
189845783458,554,3
189845783458,1887,8
189845783458,569,6
189845783458,20,6
189845783458,936,6
189845783458,2144,6
189845783458,761,4
189845783458,594,5
189845783458,30,7
189845783458,1210,8
189845783458,615,5
189845783458,921,5
189845783458,205,7
189845783458,400,7
189845783458,25,8
189845783458,849,8
189845783458,2001,7
189845783458,182,2
189845783458,6,10
189845783458,732,6
189845783458,543,8
189845783458,347,4
189845783458,202,7
333Nyu333,1292,8
333Nyu333,1533,5
333Nyu333,1957,4
333Nyu333,366,4
333Nyu333,2225,6
333Nyu333,66,6
333Nyu333,109,5
333Nyu333,371,6
333Nyu333,372,6
333Nyu333,812,7
333Nyu333,59,6
333Nyu333,60,8
333Nyu333,4450,7
333Nyu333,2274,6
333Nyu333,2768,6
333Nyu333,514,6
333Nyu333,1,9
333Nyu333,5,6
333Nyu333,63,5
333Nyu333,1535,10
333Nyu333,1726,5
333Nyu333,692,3
333Nyu333,813,9
333Nyu333,895,5
333Nyu333,896,5
333Nyu333,897,5
333Nyu333,898,5
333Nyu333,899,4
333Nyu333,901,4
333Nyu333,905,6
333Nyu333,985,6
333Nyu333,226,9
333Nyu333,365,3
333Nyu333,380,5
333Nyu333,384,8
333Nyu333,395,8
333Nyu333,1829,5
333Nyu333,484,6
333Nyu333,43,8
333Nyu333,468,8
333Nyu333,467,9
333Nyu333,1335,4
333Nyu333,1140,6
333Nyu333,268,7
333Nyu333,297,4
333Nyu333,267,8
333Nyu333,1824,8
333Nyu333,387,9
333Nyu333,1030,3
333Nyu333,270,8
333Nyu333,8074,6
333Nyu333,578,9
333Nyu333,431,9
333Nyu333,249,7
333Nyu333,452,6
333Nyu333,450,6
333Nyu333,451,6
333Nyu333,449,5
333Nyu333,570,8
333Nyu333,142,7
333Nyu333,145,4
333Nyu333,572,6
333Nyu333,52,5
333Nyu333,433,7
333Nyu333,97,7
333Nyu333,1164,5
333Nyu333,2460,5
333Nyu333,512,6
